distance-to-solar-noon,temperature,wind-speed,sky-cover,humidity,average-wind-speed-(period),average-pressure-(period),power-generated,wind_dir_sin,wind_dir_cos
0.65893588,65,10.3,4,90,8.0,30.01,0,-1.0,-1.8369701987210297e-16
0.413369714,65,10.3,4,84,6.0,30.03,650,-1.0,-1.8369701987210297e-16
0.167803547,65,10.3,4,70,9.0,30.05,9141,-1.0,-1.8369701987210297e-16
0.077762619,65,10.3,2,63,11.0,30.03,25527,-1.0,-1.8369701987210297e-16
0.323328786,65,10.3,3,75,15.0,30.01,12847,-1.0,-1.8369701987210297e-16
0.568894952,65,10.3,4,87,14.0,30.0,122,-1.0,-1.8369701987210297e-16
0.814461119,65,10.3,3,87,15.0,30.0,0,-1.0,-1.8369701987210297e-16
0.906849315,63,14.4,3,87,8.0,29.97,0,-0.984807753012208,-0.17364817766693033
0.660273973,63,14.4,3,81,13.0,29.96,0,-0.984807753012208,-0.17364817766693033
0.41369863,63,14.4,4,84,8.0,29.98,997,-0.984807753012208,-0.17364817766693033
0.167123288,63,14.4,2,70,10.0,29.99,12786,-0.984807753012208,-0.17364817766693033
0.079452055,63,14.4,2,65,20.0,29.97,28277,-0.984807753012208,-0.17364817766693033
0.326027397,63,14.4,2,70,24.0,29.96,12816,-0.984807753012208,-0.17364817766693033
0.57260274,63,14.4,1,78,16.0,29.94,81,-0.984807753012208,-0.17364817766693033
0.819178082,63,14.4,1,84,11.0,29.96,0,-0.984807753012208,-0.17364817766693033
0.909340659,66,7.3,1,87,0.0,29.96,0,-0.9848077530122081,0.17364817766692997
0.662087912,66,7.3,0,86,3.0,29.95,0,-0.9848077530122081,0.17364817766692997
0.414835165,66,7.3,1,81,0.0,30.0,4026,-0.9848077530122081,0.17364817766692997
0.167582418,66,7.3,1,70,5.0,30.02,23081,-0.9848077530122081,0.17364817766692997
0.07967033,66,7.3,1,34,16.0,29.99,27284,-0.9848077530122081,0.17364817766692997
0.326923077,66,7.3,0,48,17.0,29.96,12287,-0.9848077530122081,0.17364817766692997
0.574175824,66,7.3,1,70,16.0,29.95,79,-0.9848077530122081,0.17364817766692997
0.821428571,66,7.3,0,78,8.0,29.97,0,-0.9848077530122081,0.17364817766692997
0.913103448,69,8.7,0,81,6.0,29.97,0,-0.9848077530122081,0.17364817766692997
0.664827586,69,8.7,0,75,3.0,29.96,0,-0.9848077530122081,0.17364817766692997
0.416551724,69,8.7,1,84,3.0,29.98,3974,-0.9848077530122081,0.17364817766692997
0.168275862,69,8.7,0,73,5.0,29.99,23119,-0.9848077530122081,0.17364817766692997
0.08,69,8.7,0,66,6.0,29.94,26858,-0.9848077530122081,0.17364817766692997
0.328275862,69,8.7,0,37,21.0,29.9,12109,-0.9848077530122081,0.17364817766692997
0.576551724,69,8.7,0,56,18.0,29.91,65,-0.9848077530122081,0.17364817766692997
0.824827586,69,8.7,0,75,11.0,29.94,0,-0.9848077530122081,0.17364817766692997
0.914246196,66,10.1,0,84,3.0,29.94,0,-0.9848077530122081,0.17364817766692997
0.665283541,66,10.1,0,90,5.0,29.92,0,-0.9848077530122081,0.17364817766692997
0.416320885,66,10.1,1,90,5.0,29.94,3749,-0.9848077530122081,0.17364817766692997
0.16735823,66,10.1,1,66,3.0,29.95,22695,-0.9848077530122081,0.17364817766692997
0.081604426,66,10.1,1,51,13.0,29.92,27114,-0.9848077530122081,0.17364817766692997
0.330567082,66,10.1,1,49,16.0,29.89,12017,-0.9848077530122081,0.17364817766692997
0.579529737,66,10.1,1,56,16.0,29.89,59,-0.9848077530122081,0.17364817766692997
0.828492393,66,10.1,0,62,11.0,29.92,0,-0.9848077530122081,0.17364817766692997
0.918055556,67,9.3,0,67,3.0,29.91,0,-0.9848077530122081,0.17364817766692997
0.668055556,67,9.3,0,80,6.0,29.9,0,-0.9848077530122081,0.17364817766692997
0.418055556,67,9.3,2,70,0.0,29.93,3894,-0.9848077530122081,0.17364817766692997
0.168055556,67,9.3,2,63,7.0,29.95,23066,-0.9848077530122081,0.17364817766692997
0.081944444,67,9.3,2,47,15.0,29.91,27072,-0.9848077530122081,0.17364817766692997
0.331944444,67,9.3,2,57,21.0,29.88,11864,-0.9848077530122081,0.17364817766692997
0.581944444,67,9.3,1,70,11.0,29.89,51,-0.9848077530122081,0.17364817766692997
0.831944444,67,9.3,0,81,8.0,29.91,0,-0.9848077530122081,0.17364817766692997
0.919332406,66,10.7,0,81,6.0,29.91,0,-0.9848077530122081,0.17364817766692997
0.668984701,66,10.7,0,87,7.0,29.9,0,-0.9848077530122081,0.17364817766692997
0.418636996,66,10.7,2,84,6.0,29.93,3661,-0.9848077530122081,0.17364817766692997
0.168289291,66,10.7,1,68,6.0,29.95,22534,-0.9848077530122081,0.17364817766692997
0.082058414,66,10.7,1,50,13.0,29.91,26744,-0.9848077530122081,0.17364817766692997
0.33240612,66,10.7,1,68,18.0,29.9,11627,-0.9848077530122081,0.17364817766692997
0.582753825,66,10.7,1,90,15.0,29.92,43,-0.9848077530122081,0.17364817766692997
0.83310153,66,10.7,1,90,10.0,29.94,0,-0.9848077530122081,0.17364817766692997
0.921787709,66,9.1,1,90,10.0,29.95,0,-0.9848077530122081,0.17364817766692997
0.670391061,66,9.1,1,93,3.0,29.93,0,-0.9848077530122081,0.17364817766692997
0.418994413,66,9.1,1,93,6.0,29.95,3615,-0.9848077530122081,0.17364817766692997
0.167597765,66,9.1,0,73,3.0,29.95,22037,-0.9848077530122081,0.17364817766692997
0.083798883,66,9.1,1,56,6.0,29.9,26026,-0.9848077530122081,0.17364817766692997
0.335195531,66,9.1,1,59,20.0,29.85,1728,-0.9848077530122081,0.17364817766692997
0.586592179,66,9.1,0,73,15.0,29.89,0,-0.9848077530122081,0.17364817766692997
0.837988827,66,9.1,1,81,5.0,29.92,0,-0.9848077530122081,0.17364817766692997
0.925666199,61,12.3,1,90,13.0,29.92,0,-0.9396926207859083,0.342020143325669
0.673211781,61,12.3,1,93,8.0,29.91,0,-0.9396926207859083,0.342020143325669
0.420757363,61,12.3,1,93,8.0,29.94,2406,-0.9396926207859083,0.342020143325669
0.168302945,61,12.3,1,65,9.0,29.94,22113,-0.9396926207859083,0.342020143325669
0.084151473,61,12.3,1,63,20.0,29.9,26823,-0.9396926207859083,0.342020143325669
0.336605891,61,12.3,1,70,21.0,29.89,10798,-0.9396926207859083,0.342020143325669
0.589060309,61,12.3,1,87,11.0,29.93,0,-0.9396926207859083,0.342020143325669
0.841514727,61,12.3,2,90,11.0,29.96,0,-0.9396926207859083,0.342020143325669
0.928270042,62,8.4,4,90,8.0,29.97,0,-1.0,-1.8369701987210297e-16
0.675105485,62,8.4,4,87,6.0,29.96,0,-1.0,-1.8369701987210297e-16
0.421940928,62,8.4,4,87,6.0,29.96,373,-1.0,-1.8369701987210297e-16
0.168776371,62,8.4,3,75,5.0,29.98,13921,-1.0,-1.8369701987210297e-16
0.084388186,62,8.4,2,63,15.0,29.94,26393,-1.0,-1.8369701987210297e-16
0.337552743,62,8.4,2,68,15.0,29.95,11093,-1.0,-1.8369701987210297e-16
0.5907173,62,8.4,2,75,11.0,29.96,47,-1.0,-1.8369701987210297e-16
0.843881857,62,8.4,0,81,8.0,29.97,0,-1.0,-1.8369701987210297e-16
0.93079096,65,6.9,0,81,5.0,29.98,0,-0.9848077530122081,0.17364817766692997
0.676553672,65,6.9,1,87,5.0,29.99,0,-0.9848077530122081,0.17364817766692997
0.422316384,65,6.9,2,83,0.0,30.04,3110,-0.9848077530122081,0.17364817766692997
0.168079096,65,6.9,2,70,3.0,30.05,21023,-0.9848077530122081,0.17364817766692997
0.086158192,65,6.9,2,50,9.0,30.01,25702,-0.9848077530122081,0.17364817766692997
0.34039548,65,6.9,2,53,18.0,29.97,10972,-0.9848077530122081,0.17364817766692997
0.594632768,65,6.9,1,68,15.0,29.99,0,-0.9848077530122081,0.17364817766692997
0.848870056,65,6.9,1,67,0.0,30.01,0,-0.9848077530122081,0.17364817766692997
0.933427762,66,7.8,1,67,0.0,30.0,0,-0.9848077530122081,0.17364817766692997
0.678470255,66,7.8,1,78,5.0,29.99,0,-0.9848077530122081,0.17364817766692997
0.423512748,66,7.8,2,75,0.0,29.98,3715,-0.9848077530122081,0.17364817766692997
0.168555241,66,7.8,3,71,3.0,29.98,18312,-0.9848077530122081,0.17364817766692997
0.086402266,66,7.8,3,50,22.0,29.95,19583,-0.9848077530122081,0.17364817766692997
0.341359773,66,7.8,3,59,16.0,29.92,6135,-0.9848077530122081,0.17364817766692997
0.59631728,66,7.8,3,81,8.0,29.96,178,-0.9848077530122081,0.17364817766692997
0.851274788,66,7.8,3,84,9.0,29.95,0,-0.9848077530122081,0.17364817766692997
0.937411095,67,9.5,3,84,10.0,29.94,0,-0.984807753012208,-0.17364817766693033
0.681365576,67,9.5,4,87,6.0,29.92,0,-0.984807753012208,-0.17364817766693033
0.425320057,67,9.5,4,81,0.0,29.96,53,-0.984807753012208,-0.17364817766693033
0.169274538,67,9.5,3,73,6.0,29.98,7496,-0.984807753012208,-0.17364817766693033
0.086770982,67,9.5,3,62,17.0,29.97,19260,-0.984807753012208,-0.17364817766693033
0.342816501,67,9.5,3,76,9.0,29.92,4961,-0.984807753012208,-0.17364817766693033
0.59886202,67,9.5,3,87,13.0,29.91,0,-0.984807753012208,-0.17364817766693033
0.854907539,67,9.5,2,90,16.0,29.92,0,-0.984807753012208,-0.17364817766693033
0.940085592,65,8.5,4,90,7.0,29.91,0,1.2246467991473532e-16,-1.0
0.683309558,65,8.5,3,87,8.0,29.86,0,1.2246467991473532e-16,-1.0
0.426533524,65,8.5,3,84,5.0,29.87,1093,1.2246467991473532e-16,-1.0
0.169757489,65,8.5,3,73,3.0,29.87,11844,1.2246467991473532e-16,-1.0
0.087018545,65,8.5,3,63,0.0,29.83,11357,1.2246467991473532e-16,-1.0
0.343794579,65,8.5,4,65,9.0,29.77,3375,1.2246467991473532e-16,-1.0
0.600570613,65,8.5,4,70,14.0,29.76,0,1.2246467991473532e-16,-1.0
0.857346648,65,8.5,4,90,13.0,29.75,0,1.2246467991473532e-16,-1.0
0.941344778,64,14.4,4,93,15.0,29.73,0,-0.9396926207859084,-0.34202014332566855
0.683834049,64,14.4,4,90,17.0,29.75,0,-0.9396926207859084,-0.34202014332566855
0.426323319,64,14.4,4,90,8.0,29.79,1653,-0.9396926207859084,-0.34202014332566855
0.168812589,64,14.4,3,81,13.0,29.84,5957,-0.9396926207859084,-0.34202014332566855
0.08869814,64,14.4,2,66,16.0,29.86,21177,-0.9396926207859084,-0.34202014332566855
0.34620887,64,14.4,2,70,15.0,29.88,9729,-0.9396926207859084,-0.34202014332566855
0.603719599,64,14.4,1,81,14.0,29.91,0,-0.9396926207859084,-0.34202014332566855
0.861230329,64,14.4,2,84,18.0,29.95,0,-0.9396926207859084,-0.34202014332566855
0.944045911,65,11.1,1,81,15.0,29.96,0,-1.0,-1.8369701987210297e-16
0.68579627,65,11.1,1,84,10.0,29.96,0,-1.0,-1.8369701987210297e-16
0.427546628,65,11.1,2,81,8.0,29.99,2198,-1.0,-1.8369701987210297e-16
0.169296987,65,11.1,3,57,7.0,30.01,20493,-1.0,-1.8369701987210297e-16
0.088952654,65,11.1,3,55,15.0,30.0,18931,-1.0,-1.8369701987210297e-16
0.347202296,65,11.1,3,61,11.0,29.99,11566,-1.0,-1.8369701987210297e-16
0.605451937,65,11.1,1,81,15.0,30.01,0,-1.0,-1.8369701987210297e-16
0.863701578,65,11.1,2,87,14.0,30.03,0,-1.0,-1.8369701987210297e-16
0.948126801,66,10.5,4,93,7.0,30.04,0,-1.0,-1.8369701987210297e-16
0.688760807,66,10.5,4,90,0.0,30.05,0,-1.0,-1.8369701987210297e-16
0.429394813,66,10.5,4,84,5.0,30.07,532,-1.0,-1.8369701987210297e-16
0.170028818,66,10.5,1,73,5.0,30.1,22044,-1.0,-1.8369701987210297e-16
0.089337176,66,10.5,0,59,3.0,30.05,27732,-1.0,-1.8369701987210297e-16
0.34870317,66,10.5,1,70,22.0,30.05,11398,-1.0,-1.8369701987210297e-16
0.608069164,66,10.5,1,93,22.0,30.07,0,-1.0,-1.8369701987210297e-16
0.867435159,66,10.5,3,93,21.0,30.1,0,-1.0,-1.8369701987210297e-16
0.949421965,65,10.2,2,93,14.0,30.12,0,-1.0,-1.8369701987210297e-16
0.689306358,65,10.2,1,96,7.0,30.12,0,-1.0,-1.8369701987210297e-16
0.429190751,65,10.2,3,96,0.0,30.16,0,-1.0,-1.8369701987210297e-16
0.169075145,65,10.2,2,81,3.0,30.17,15458,-1.0,-1.8369701987210297e-16
0.091040462,65,10.2,0,71,3.0,30.11,27357,-1.0,-1.8369701987210297e-16
0.351156069,65,10.2,0,55,22.0,30.07,10975,-1.0,-1.8369701987210297e-16
0.611271676,65,10.2,0,73,16.0,30.06,0,-1.0,-1.8369701987210297e-16
0.871387283,65,10.2,0,81,11.0,30.05,0,-1.0,-1.8369701987210297e-16
